DateTime	PSNR-DateTime	PSNR-Value	PSNR-MeanA	PSNR-MeanH	PSNR-Min	PSNR-Max	PSNR-StdDevP	SSIM-DateTime	SSIM-Value	SSIM-MeanA	SSIM-MeanH	SSIM-Min	SSIM-Max	SSIM-StdDevP	VMAF-DateTime	VMAF-Value	VMAF-MeanA	VMAF-MeanH	VMAF-Min	VMAF-Max	VMAF-StdDevP	PSNR-Options	SSIM-Options	VMAF-Options	Frame	Bitrate	FileSpec	FFMetrics	FFMpeg
2025-04-20 01:24:11	2025-04-20 01:24:09	29.160306	29.222733	29.202173	28.320000	32.330000	0.808122	2025-04-20 01:24:11	0.911275	0.911275	0.911244	0.896928	0.945999	0.005385											1920x1080-60p, yuv420p	6510	D:\Users\Acer\Desktop\Thesis_0419\testing videos\life1_0419.mp4	1.5	N-119298-gec3f3457fd-20250419
2025-04-20 01:24:28	2025-04-20 01:24:26	37.305103	43.136167	39.822536	34.670000	113.060000	16.995929	2025-04-20 01:24:28	0.967498	0.967498	0.966693	0.924703	1.000000	0.027859											1920x1080-60i, yuv420p	1629	D:\Users\Acer\Desktop\Thesis_0419\testing videos\sintel3_0419.mp4	1.5	N-119298-gec3f3457fd-20250419
2025-04-20 01:25:10	2025-04-20 01:25:08	Infinity	100.000000	100.000000	100.000000	100.000000	0.000000	2025-04-20 01:25:10	1	1.000000	1.000000	1.000000	1.000000	0.000000											1920x1080-60p, yuv420p	3370	D:\Users\Acer\Desktop\Thesis_0419\testing videos\sunflower1_0419.mp4	1.5	N-119298-gec3f3457fd-20250419
2025-04-20 01:26:17	2025-04-20 01:26:15	34.263799	34.281667	34.277081	33.630000	35.210000	0.397663	2025-04-20 01:26:17	0.969391	0.969391	0.969381	0.960430	0.975733	0.002984											1920x1080-60p, yuv420p	3370	D:\Users\Acer\Desktop\Thesis_0419\testing videos\sunflower1_0419.mp4	1.5	N-119298-gec3f3457fd-20250419
